date;type;ip;oid;response
15/10/2021;17:19:30;info;192.168.176.2;1.3.6.1.2.1.1.5.0;Serveur NAS
15/10/2021;17:20:49;error_indication;192.168.176.3;1.3.6.1.2.1.1.5.0;No SNMP response received before timeout
15/10/2021;17:22:27;info;192.168.176.2;1.3.6.1.2.1.1.5.0;Serveur NAS
29/10/2021;13:43:15;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1077007494
29/10/2021;13:50:12;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1078199449
29/10/2021;14:12:21;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1082040978
29/10/2021;14:18:21;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1083078189
29/10/2021;14:29:26;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1085014175
29/10/2021;14:39:11;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1086727588
29/10/2021;14:39:33;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1086779973
29/10/2021;14:39:44;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1086820968
29/10/2021;14:40:39;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1086974238
29/10/2021;14:50:10;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1088612072
29/10/2021;14:50:24;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1088656604
29/10/2021;14:50:39;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1088705242
29/10/2021;14:51:26;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1088847362
29/10/2021;14:51:29;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1088852974
29/10/2021;14:52:41;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1089052980
29/10/2021;14:53:25;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1089191965
29/10/2021;14:55:53;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1089595493
29/10/2021;14:59:16;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1090188481
29/10/2021;15:06:17;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1091416021
29/10/2021;15:07:44;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1091662089
29/10/2021;15:17:18;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1093333721
29/10/2021;15:18:24;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1093527126
29/10/2021;15:20:09;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1093829104
29/10/2021;15:24:10;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1094520081
29/10/2021;15:35:44;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1096533895
29/10/2021;15:36:28;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1096641073
29/10/2021;15:37:16;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1096787127
29/10/2021;15:54:49;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1099837008
29/10/2021;15:55:03;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1099852086
29/10/2021;15:56:10;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1100048456
29/10/2021;15:58:11;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1100429800
29/10/2021;15:59:18;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1100591356
29/10/2021;16:01:04;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1100923367
29/10/2021;16:01:49;info;192.168.176.2;1.3.6.1.2.1.1.6;Bocal Maurienne 59-59b
29/10/2021;16:06:36;error_indication;10.0.0.10;1.3.6.1.2.1.2.2.1.10;No SNMP response received before timeout
29/10/2021;16:06:39;info;192.168.176.2;1.3.6.1.2.1.2.2.1.10;1101868940
